Respondent_ID,Recognition_Satisfaction,Qualification_Influence,Experience_Influence,Motivation_Impact,Salary_Satisfaction,Supervisor_Feedback_Satisfaction,Monetary_Incentives_Satisfaction,Professional_Development,Performance_Appraisal_Satisfaction,Job_Security_Satisfaction,Coworker_Relationship_Satisfaction,Working_Conditions_Satisfaction,Colleague_Support_Satisfaction,Promotion_Opportunities,Decision_Making_Participation,Nature_Of_Work_Perception,Management_Employee_Relationship,Respondent_Experience_Years,Motivating_Incentives_Type,Training_Programs_Satisfaction
R001,Satisfied,No influence,Moderate,Minor,Satisfied,Neutral,Satisfied,Excellent,Poor,Satisfied,Excellent,Neutral,Good,Sometimes,Poor,Good,Good,1-5 years,Both,Satisfied
R002,Satisfied,No influence,Minor,Minor,Neutral,Satisfied,Satisfied,Excellent,Neutral,Satisfied,Good,Good,Good,Seldom,Good,Good,Excellent,1-5 years,Both,Satisfied
R003,Satisfied,Moderate,Minor,Minor,Satisfied,Satisfied,Neutral,Good,Good,Satisfied,Good,Good,Poor,Seldom,Good,Good,Good,1-5 years,Both,Neutral
R004,Satisfied,Moderate,Significant,Minor,Satisfied,Dissatisfied,Dissatisfied,Poor,Neutral,Neutral,Good,Neutral,Good,Often,Good,Poor,Good,5-10 years,Both,Satisfied
R005,Dissatisfied,Minor,No impact,Moderate,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Very Poor,Satisfied,Neutral,Neutral,Good,Sometimes,Good,Poor,Good,5-10 years,Both,Dissatisfied
R006,Satisfied,Minor,Minor,Minor,Neutral,Neutral,Neutral,Excellent,Poor,Neutral,Good,Good,Good,Never,Good,Poor,Neutral,5-10 years,Both,Satisfied
R007,Satisfied,Minor,No impact,No influence,Neutral,Satisfied,Satisfied,Excellent,Excellent,Satisfied,Good,Neutral,Excellent,Seldom,Good,Good,Good,1-5 years,Financial incentives,Satisfied
R008,Dissatisfied,Minor,No impact,Minor,Satisfied,Satisfied,Neutral,Good,Good,Dissatisfied,Good,Good,Excellent,Seldom,Good,Good,Very Poor,1-5 years,Factors that motivate,Dissatisfied
R009,Satisfied,Significant,Minor,Minor,Satisfied,Extremely Satisfied,Very dissatisfied,Good,Good,Satisfied,Good,Good,Excellent,Seldom,Good,Good,Good,1-5 years,Financial incentives,Satisfied
R010,Satisfied,Minor,Minor,Minor,Satisfied,Satisfied,Neutral,Good,Good,Neutral,Good,Good,Good,Seldom,Good,Poor,Neutral,More than 15 years,Both,Neutral
R011,Satisfied,No influence,Minor,Minor,Dissatisfied,Extremely dissatisfied,Neutral,Very Poor,Neutral,Neutral,Good,Good,Good,Sometimes,Neutral,Good,Excellent,1-5 years,Both,Neutral
R012,Very Satisfied,Minor,Minor,Moderate,Satisfied,Satisfied,Satisfied,Good,Excellent,Neutral,Good,Good,Good,Sometimes,Excellent,Poor,Excellent,1-5 years,Both,Satisfied
R013,Neutral,Minor,Minor,Minor,Neutral,Satisfied,Satisfied,Neutral,Good,Satisfied,Good,Poor,Good,Seldom,Excellent,Good,Good,5-10 years,Factors that motivate,Satisfied
R014,Satisfied,Minor,Minor,Minor,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Extremely Satisfied,Good,Good,Poor,Seldom,Neutral,Poor,Neutral,1-5 years,Both,Satisfied
R015,Satisfied,Minor,No impact,Moderate,Satisfied,Satisfied,Neutral,Excellent,Excellent,Satisfied,Good,Good,Good,Seldom,Good,Good,Good,1-5 years,Both,Dissatisfied
R016,Very Satisfied,Significant,Significant,Minor,Neutral,Satisfied,Neutral,Neutral,Poor,Extremely dissatisfied,Neutral,Good,Excellent,Seldom,Poor,Excellent,Good,5-10 years,Both,Satisfied
R017,Satisfied,Moderate,Minor,No influence,Satisfied,Satisfied,Dissatisfied,Neutral,Very Poor,Satisfied,Good,Good,Good,Seldom,Good,Excellent,Excellent,10-15 years,Factors that motivate,Satisfied
R018,Satisfied,Minor,Significant,Minor,Dissatisfied,Satisfied,Very Satisfied,Good,Good,Extremely dissatisfied,Good,Good,Good,Always,Excellent,Good,Good,More than 15 years,Factors that motivate,Dissatisfied
R019,Very Satisfied,Moderate,No impact,No influence,Satisfied,Satisfied,Neutral,Good,Excellent,Satisfied,Good,Good,Poor,Always,Good,Good,Good,1-5 years,Both,Satisfied
R020,Dissatisfied,Significant,Minor,Moderate,Very dissatisfied,Neutral,Neutral,Good,Good,Satisfied,Good,Good,Excellent,Always,Excellent,Good,Good,5-10 years,Both,Satisfied
R021,Neutral,Minor,Moderate,Minor,Neutral,Extremely dissatisfied,Satisfied,Good,Neutral,Neutral,Neutral,Good,Excellent,Sometimes,Neutral,Good,Excellent,1-5 years,Both,Satisfied
R022,Dissatisfied,Minor,No impact,Minor,Very satisfied,Satisfied,Satisfied,Neutral,Neutral,Neutral,Good,Poor,Good,Often,Good,Neutral,Good,1-5 years,Both,Satisfied
R023,Satisfied,Minor,Minor,Minor,Satisfied,Dissatisfied,Neutral,Good,Good,Satisfied,Good,Neutral,Excellent,Seldom,Neutral,Good,Good,1-5 years,Factors that motivate,Satisfied
R024,Satisfied,Minor,Significant,Minor,Dissatisfied,Satisfied,Satisfied,Good,Neutral,Extremely Satisfied,Excellent,Neutral,Good,Seldom,Good,Good,Excellent,1-5 years,Both,Dissatisfied
R025,Dissatisfied,Minor,Minor,Significant,Very satisfied,Satisfied,Neutral,Neutral,Excellent,Dissatisfied,Excellent,Good,Good,Seldom,Excellent,Good,Good,5-10 years,Both,Dissatisfied
R026,Satisfied,Minor,Minor,Minor,Satisfied,Satisfied,Satisfied,Good,Neutral,Dissatisfied,Good,Good,Good,Seldom,Good,Neutral,Excellent,1-5 years,Factors that motivate,Satisfied
R027,Neutral,Moderate,Minor,Minor,Satisfied,Satisfied,Satisfied,Very Poor,Good,Neutral,Excellent,Good,Good,Never,Poor,Good,Good,5-10 years,Both,Dissatisfied
R028,Very Satisfied,Moderate,No impact,Significant,Very dissatisfied,Satisfied,Very dissatisfied,Good,Excellent,Neutral,Poor,Neutral,Excellent,Never,Good,Excellent,Good,1-5 years,Both,Dissatisfied
R029,Satisfied,Minor,No impact,Minor,Satisfied,Dissatisfied,Satisfied,Good,Poor,Dissatisfied,Good,Neutral,Poor,Sometimes,Good,Good,Poor,5-10 years,Factors that motivate,Neutral
